Temperature         mean       std     max     min
Region Device                                     
EoP    DCDC    -8.228333  0.090791  -8.097  -8.541
       EoP    -22.083240  3.168645  -8.983 -28.692
R0     ABC    -23.976975  0.359699 -23.191 -24.723
       AMAC   -25.374732  0.067452 -25.242 -25.504
       FEAST   -8.048217  0.077762  -7.803  -8.186
       HCC    -15.901462  0.225231 -15.483 -16.388
       Sensor -26.570363  0.759426 -24.259 -27.939
R1     ABC    -22.364044  1.039440 -20.136 -24.033
       AMAC   -24.540625  0.067043 -24.389 -24.670
       FEAST   -0.691241  0.132864  -0.321  -1.000
       HCC    -14.752466  0.123057 -14.434 -15.066
       Sensor -25.308266  1.519524 -20.198 -27.670
R2     ABC    -22.079109  1.183586 -20.120 -23.818
       AMAC   -24.959302  0.138849 -24.715 -25.187
       FEAST   -6.394671  0.068260  -6.169  -6.547
       HCC    -14.057361  0.128338 -13.798 -14.460
       Sensor -24.792576  1.552996 -20.602 -26.974
R3     ABC    -20.296925  1.909229 -16.964 -23.562
       AMAC   -23.138748  0.166568 -22.831 -23.446
       FEAST   -0.940117  0.880547   0.202  -2.032
       HCC    -13.171076  0.237763 -12.610 -13.731
       Sensor -23.935618  2.444542 -15.935 -28.086
R4     ABC    -22.968929  1.267912 -20.817 -25.346
       AMAC   -26.924302  0.234558 -26.627 -27.227
       FEAST   -6.834775  0.873407  -5.659  -7.850
       HCC    -16.274165  0.331869 -15.683 -16.826
       Sensor -26.095565  1.556026 -21.500 -28.359
R5     ABC    -23.996157  0.461087 -23.052 -25.102
       AMAC   -27.434838  0.162510 -27.261 -27.635
       FEAST   -8.554425  0.090910  -8.279  -8.710
       HCC    -16.746505  0.429410 -16.042 -17.395
       Sensor -26.832470  1.025950 -24.269 -28.490
