# R2 FEA_T-20170906_S-2.dat
# R2 FEA_T-20170906_S-1.dat
# R2 FEA_T-20170906_S-3.dat
 pabc  phcc  pfeast  prest  type  result  error
 1.79  0.00    0.00   0.00     1    5.30   0.60
 1.79  0.00    0.00   0.00     5    2.45   0.01
 1.79  0.00    0.00   0.00     3    3.67   0.00
 1.79  0.00    0.00   0.00     2    2.38   0.21
 1.79  0.00    0.00   0.00     4    2.79   0.67
 0.00  0.83    0.00   0.00     1    0.94   0.52
 0.00  0.83    0.00   0.00     5    0.65   0.00
 0.00  0.83    0.00   0.00     3    0.75   0.00
 0.00  0.83    0.00   0.00     2   12.62   0.14
 0.00  0.83    0.00   0.00     4    0.84   0.52
 0.00  0.00    1.50   0.00     1    2.22   1.01
 0.00  0.00    1.50   0.00     5    3.20   0.05
 0.00  0.00    1.50   0.00     3   45.44   0.17
 0.00  0.00    1.50   0.00     2    1.10   0.01
 0.00  0.00    1.50   0.00     4    2.06   1.33

