# Types: 1 ABC, 2 HCC, 3 FEAST, 4 Sensor, 5 AMAC, 6 EoP
# R3 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S2.dat
# R3 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S1.dat
# R3 [FEA][20171207][-30.0C][0.0Wm2C][DP1][ALL]S3.dat
 pabc  phcc  pfeast  prest  type  result  error
 4.17  0.00    0.00   0.00     1    6.01   0.87
 4.17  0.00    0.00   0.00     5    3.23   0.08
 4.17  0.00    0.00   0.00     3    4.83   0.26
 4.17  0.00    0.00   0.00     2    3.06   0.07
 4.17  0.00    0.00   0.00     4    3.10   1.07
 0.00  1.65    0.00   0.00     1    1.22   0.63
 0.00  1.65    0.00   0.00     5    0.87   0.00
 0.00  1.65    0.00   0.00     3    0.91   0.03
 0.00  1.65    0.00   0.00     2   12.65   0.14
 0.00  1.65    0.00   0.00     4    0.95   0.58
 0.00  0.00    1.50   0.00     1    2.16   1.11
 0.00  0.00    1.50   0.00     5    2.28   0.08
 0.00  0.00    1.50   0.00     3   18.33   0.50
 0.00  0.00    1.50   0.00     2    0.98   0.10
 0.00  0.00    1.50   0.00     4    1.93   1.32

